Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
Gazteberri;Gazteberri;Iparraguirre, 17 - 1º;48009;Bilbao;43.2649959551832, -2.93551887864537;2017-02-06 08:57:43 UTC;"";http://www.gazteberri.eus;fax: 944157452
360 Hotel Management;;Gregorio de la Revilla, 21 - 1º, izda;48011;Bilbao;43.2612139301291, -2.94009265047717;2017-02-15 07:58:18 UTC;"";""
±18 Presta ezazu zure etorkizuna;±18 Presta ezazu zure etorkizuna;Iparragirre, 17 - 1º Dcha.;48009;Bilbao;43.2650164718, -2.93557766414;2017-02-15 08:39:44 UTC;944247594;http://www.etorkizuna.eus
ASLE Donostia / San Sebastian;ASLE Donostia / San Sebastian;Gernikako Arbola ibilbidea, 24;20006;Donostia / San Sebastian;43.314172, -1.9814245;2017-02-15 09:55:34 UTC;943445869;http://www.asle.es;fax: 943453871
ComunicaTU;komunikaTU;Plaza de La Cantera, 5 - 3ª planta. mód. 2;48003;Bilbao;, ;2017-02-17 13:20:58 UTC;944346434;http://www.comunicatu.com
IKASLAN Bizkaia - Asociación de Centros Públicos de Formación Profesional de Bizkaia;IKASLAN Bizkaia-Lanbide Heziketako Ikastegi Publikoen Elkartea;Pajares, 34;48980;Santurtzi;43.3254034, -3.037424;2017-03-08 12:51:23 UTC;944938400;http://www.ikaslanbizkaia.eus;fax: 944937246
Tarazaga Emotional Business Management;Tarazaga Emotional Business Management;Paseo de Uribitarte, 7;48001;Bilbao;43.2664435, -2.9291508;2014-03-24 11:29:36 UTC;902193461;http://www.tarazaga.com
Asociación de Mujeres Vascas;;Entre Ríos, 261;2000;Rosario;-32.9396894, -60.6394473;2011-11-04 10:46:46 UTC;3414853050;""
Estación de Autobuses de Bilbao - Termibus;Termibus - Bilbao;Gurtubay, 1;48013;Bilbao;43.2613028542774, -2.95014087693719;2013-10-28 15:35:34 UTC;944395077;http://www.termibus.es;fax: 944424383
Behargintza Orduña;;Gran Via, 10 - 1º;48460;Urduña/Orduña;42.9951584890263, -3.01272589727067;2014-02-23 19:22:27 UTC;945384050;http://www.urduna.com/;fax: 945383888
HABE Bizkaia;HABE Bizkaia;Gran Vía, 85 -  1º;48011;Bilbao;43.2648254445, -2.94394610011;2011-09-21 21:06:52 UTC;944031620;"";fax: 944031621
Asociación Euskaltzaleok;;Calle de la Torreta, 1;46930;Quart de Poblet;39.4832486, -0.4434936;2011-11-07 11:28:44 UTC;609949961;http://www.euskaltzaleok.net
Asociación Tokyo-ko Euskal Etxea;;Minamiyukigaya, Ota-ku, 305, 2-17-6;145-0066;Tokyo;35.591455, 139.6814971;2011-11-07 11:35:20 UTC;0307287740;""
Colegio Oficial de Agentes de la Propiedad Inmobiliaria de Bizkaia;Higiezinen Jabetza-Agenteen Bizkaiko Elkargo Ofiziala;Colón de Larreategi, 1 -  1º Izda.;48001;Bilbao;43.2637606, -2.9269593;2011-09-21 21:06:52 UTC;944236122;http://www.apinet.net;fax: 94 - 424 36 39
HAC Project;HAC PROJECT;Gran Vía , 21 - 3;48001;Bilbao;, ;2014-02-28 07:28:45 UTC;607450588;""
Gaztezulo;Gaztezulo;Katalina Eleizegi, 36 -  bajo;20009;Donostia-San Sebastián;43.3045063105, -1.9881239823;2011-09-21 21:06:53 UTC;943457250;http://www.gaztezulo.com
Bit This! Advertising, Design & Digital Culture;;Plaza de la Cantera, 5 - 4º - Módulo 2;48003;Bilbao;43.3555581, -3.0110844;2012-01-17 15:04:27 UTC;946757029;http://www.bit-this.com;twitter: http://twitter.com/@Bit_This
Colegio Oficial de Farmacéuticos de Gipuzkoa;Gipuzkoako Sendagaigileen Elkartea;Prim, 2 -  1º;20006;Donostia-San Sebastián;43.3180199789861, -1.97982472602265;2014-02-06 19:23:45 UTC;943429114;http://www.cofgipuzkoa.com;fax: 943426659
Danak Bat Centro Vasco Argentino de Bolívar;;Sargento Cabral, 130;6550;Bolívar;-24.2053213, -65.2768447;2013-10-23 09:01:18 UTC;"";""
Lokarri, Red Ciudadana por el Acuerdo y la Consulta;Lokarri;Illarra Berri, 1 - Behea;20018;Donostia-San Sebastián;43.3026419022874, -2.00716708331749;2014-02-28 13:51:05 UTC;902421010;http://www.lokarri.org;fax: 944244724
Federación de Centros Vascos de Venezuela;;Las Flores - c/c La Orquídea, Barrio Coromoto, La Entrada;2005;Valencia (Naguanagua);10.215181, -68.0207992;2012-11-19 12:03:17 UTC;24191331642;"";fax: 2419131642
Federación de Entidades Vasco Argentinas - F.E.V.A.;;Lavalle, 1718 - 5ºD;C1048AAP;Buenos Aires;-34.6030977, -58.3911736;2012-11-19 12:56:53 UTC;1143723520;http://www.fevaonline.org.ar
Euskaltzaindia - Delegación de Iparralde;Euskaltzaindia - Iparraldeko Ordezkaritza;Paul Bert plaza, Gaztelu-Berria, 1º;64100 ;Bayona;43.492949, -1.474841;2012-04-04 13:26:06 UTC;559256426;http://www.euskaltzaindia.net;fax: 559594559
"Centro Vasco ""Eusko Aterpea""";;Mitre, 370;1748;General Rodríguez;-34.6064481, -58.9477431;2011-11-23 15:27:16 UTC;02374851284;""
Instituto Vasco Mexicano de Desarrollo, A.C.;;Horacio , 1213 - Colonia Polanco;15550;México D.F.;19.4345171, -99.2010922;2012-11-28 09:23:07 UTC;5552548517;""
Barcelona;Bartzelona;"";"";;, ;2014-08-18 11:58:12 UTC;"";""
EAJ/PNV - Partido Nacionalista Vasco;EAJ/PNV - Euzko Alderdi Jeltzalea;Ibáñez de Bilbao, 16 -  Sabin Etxea;48001;Bilbao;43.2631805773, -2.92764679915;2011-09-21 21:06:58 UTC;944039400;http://www.eaj-pnv.eu;fax: 94 403 94 12
Departamento de Salud;Osasun Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 07:59:03 UTC;"";""
Algo más que marketing;;Avenida de los Huetos, 79 - Edificio Azucarera,Planta baja,Oficina 2;01010;Vitoria;, ;2015-03-23 08:22:48 UTC;945306046;""
Cope Bilbao;;Sagrado Corazón de Jesús, 5 - 9º - (Plaza);48011;Bilbao;43.2657292573211, -2.94534951299928;2012-05-23 10:16:32 UTC;944414101;"";fax: 944425460
Consejo Asesor de Patrimonio Arqueológico;Euskadiko Arkeologia Ondarearen Aholku Batzordea;"";"";;42.8422168768851, -2.51467214037172;2013-03-15 10:52:17 UTC;945019461;""
Consejo Asesor de Relaciones con las Colectividades Vascas;Euskal Gizataldeekiko Harremanetarako Aholku Batzordea;"";"";;40.463667, -3.74922;2013-11-27 12:29:16 UTC;"";http://www.lehendakaritza.ejgv.euskadi.net/r48-contcvpv/es/contenidos/informacion/v2_presentacion/es_colectiv/presentacion_colectividades.html;funciones: http://www9.euskadi.net/cgi-bin_k54/bopv_20?c&f=19950515&a=199501938
"Centro Vasco Argentino ""Danak Anaiak""";;Núñez, 30;B6640EIB;Bragado;-35.117498, -60.4901156;2011-11-30 09:57:46 UTC;92342447141;""
Ilustre Colegio Oficial de Graduados Sociales de Álava;Arabako Graduatu Sozialen Kolegio Ofizial Prestua;Vicente Goikoetxea, 17 - Bajo;01008;Vitoria-Gasteiz;42.848249, -2.6847201;2014-02-06 20:24:48 UTC;945130595945147098;http://www.graduadosocialalava.com;fax: 945147147
Viceconsejería de Salud;Osasun Sailburuordetza;Donostia-San Sebastián, 1 -  LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2016-12-09 08:00:50 UTC;945019199;http://www.osasun.ejgv.euskadi.eus;fax: 945019165
Comité Vasco contra la Violencia en el Deporte;Kiroleko Indarkeriaren Aurkako Euskal Batzordea;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2013-03-15 10:53:48 UTC;945019461;""
Consejo Superior de Cooperativas de Euskadi;Euskadiko Kooperatiben Goren Kontseilua;Reyes de Navarra, 51;01013;Vitoria-Gasteiz;42.8608973964, -2.66976661467;2011-09-21 21:07:02 UTC;945121155;http://www.csce-ekgk.coop;fax: 945 12 22 63 
Comisión de Ordenación del Territorio del País Vasco;Euskal Autonomia Erkidegoko Lurralde Antolamendurako Batzordea;"";"";;40.463667, -3.74922;2013-10-23 08:37:27 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20080918&a=200805292
Comisión para el estudio y racionalización de la Red de Transporte Sanitario de Urgencia;Larrialdietako Osasun Garraioaren Sarea Aztertzeko eta Arrazoibideratzeko Batzordea;"";"";;, ;2013-11-04 12:37:07 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=19830819&a=198301609
Consejo de Seguridad Pública de Euskadi ;Euskadiko Segurtasun Publikoaren Kontseilua;"";"";;40.463667, -3.74922;2013-11-05 12:19:27 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2012003068
UNED Vitoria-Gasteiz;UNEDen Gasteizko Egoitza;Pedro Asúa, 2;01008;Vitoria-Gasteiz;42.8491614, -2.6892665;2011-09-21 21:07:03 UTC;945244200;http://www.unedvitoria.com;fax: 945244903
Academia Vasca de Policía y Emergencias;Polizia eta Larrialdietako Euskal Akademia;Carretera Vitoria-Gasteiz - Irún, km 5;01192;Arkaute;42.7411887, -2.6862469;2013-05-08 11:29:24 UTC;945285200;http://www.arkauteakademia.net;fax: 945286755
Museo de Ciencias Naturales de Álava;Arabako Natura Zientzien Museoa;Siervas de Jesús, 24;01001;Vitoria-Gasteiz;42.8501953, -2.6747792;2013-08-20 08:33:15 UTC;945181924;"";fax: 945181932
Facultad de Teología del Norte de España. Sede de Vitoria;Espainiako Iparraldeko Teologi Fakultatea. Gasteizko egoitza;BeatoTomás de Zumárraga, 67;01008;Vitoria-Gasteiz;42.851128123, -2.69057515574;2011-09-21 21:07:30 UTC;945214448;http://www.teologiavitoria.org;fax: 945 - 24 78 57
Ararteko Oficina de Álava;;Prado, 9;01005;Vitoria-Gasteiz;42.8458046, -2.6749487;2014-03-28 09:21:52 UTC;945135118;http://www.ararteko.net;fax: 945135102
Arartekoa;Arartekoa;Prado, 9;01005;Vitoria-Gasteiz;42.8458617, -2.6750393;2011-09-21 21:07:05 UTC;945135118;http://www.ararteko.net;fax: 945135102
Universidad de Navarra - Campus de San Sebastián;Nafarroako Unibertsitatea - Donostiako Campusa;"";"";;40.463667, -3.74922;2011-06-09 15:33:44 UTC;"";""
UNED - Universidad Nacional de Educación a Distancia;Urrutiko Hezkuntzarako Unibertsitate Nazionala - UNED;"";"";;40.463667, -3.74922;2011-06-09 15:34:07 UTC;"";""
Eite - Agrupación Vasca de Centros de Investigación Tecnológica;Eite;"";;;, ;2011-04-26 07:12:51 UTC;"";""
Audiencia Provincial de Bizkaia;Bizkaiko Probintzi Auzitegia;Barroeta Aldamar, 10;48001;Bilbao;43.2625253762357, -2.92649934004248;2014-02-27 10:24:51 UTC;944016667;"";fax: 944016995
Escuela de Hostelería de Gamarra;Gamarrako Ostalaritza Eskola;Presagana, 1 - Bajo;01013;Vitoria-Gasteiz;42.8790760628491, -2.66129518211804;2014-02-11 16:17:34 UTC;945258025945258100;http://www.hosteleriagamarra.com;fax: 945281902
Ayuntamiento de Laukiz;Laukizko Udala;Lauaxeta enparantza, z/g.;48111;Laukiz;43.3384025, -2.9237606;2011-09-21 21:07:07 UTC;946151051;http://www.laukiz.net;fax: 94 - 615 14 92;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=053&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48053
Ayuntamiento de Markina-Xemein;Markina-Xemeingo Udala;Goiko portala, 3;48270;Markina Xemein;43.2673717, -2.4985901;2011-09-21 21:07:08 UTC;946167588;http://www.markina-xemein.com;fax: 94 - 616 76 71;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=060&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48060
Arrate Irratia;Arrate Irratia;Arrate;20600;Eibar;43.2054578, -2.4469916;2014-08-18 09:55:32 UTC;943120161943120173;http://www.arrateirratia.com;fax: 943120173
Bertsozale Elkartea;Bertsozale Elkartea;Kale Nagusia, 70;20150;Villabona;43.1857675223917, -2.05294646987189;2014-02-12 17:30:59 UTC;943694129;http://www.bertsozale.eus;fax: 943693041943694277
Bizkaia Irratia;Bizkaia Irratia;Fontecha y Salazar, 9 -  5º;48007;Bilbao;43.2690226337, -2.92703973865;2011-09-21 21:07:11 UTC;944466800;http://www.bizkaiairratia.com;fax: 944467678
Cadena Ser Euskadi;Cadena Ser Euskadi;"";"";;43.1516955116149, -2.60847191026896;2014-03-20 16:37:57 UTC;"";""
Antena 3 Televisión;Antena 3 Televisión;Capuchinos de Basurtu, 6 -  1º departamento 17;48013;Bilbao;43.2629076798, -2.95260726319;2011-09-21 21:07:12 UTC;944398188;http://www.a3n.tv;fax: 944424507
Hizkuntz Eskubideen Behatokia;Hizkuntz Eskubideen Behatokia;Martzelo Zelaieta etorbidea, 75 -  U3 eraikina  13. bulegoa;31014;Pamplona;42.8251409, -1.6493532;2014-02-12 17:51:30 UTC;948146172;http://www.behatokia.org
Baiona;Baiona;"";"";;40.463667, -3.74922;2013-08-19 08:05:58 UTC;559598440;"";fax: 559595139
Consejo Consultivo de Desarrollo Rural;Landa Garapeneko Kontseilu Aholku-emailea;"";"";;40.463667, -3.74922;2013-11-08 11:38:47 UTC;"";""
Sociedad Coral de Bilbao;Bilboko Koral elkartea;Felipe Serrate, 2;48013;Bilbao;43.2645875334, -2.94722682425;2011-09-21 21:07:17 UTC;944167148;http://www.coraldebilbao.com;fax: 94 416 18 99
Museo de Orozko;Orozkoko Museoa;Zubiaur plaza;48410;Orozko;43.1071795, -2.9116059;2014-02-28 14:09:59 UTC;946339823;http://www.orozkoudala.com
KREA Expresión Contemporánea;KREA Expresión Contemporánea;Postas, 17;01004;Vitoria-Gasteiz;42.1635677, -72.6210303;2014-08-25 09:12:06 UTC;945150147;http://www.kreared.com;fax: 945150147
Comisión de seguimiento para la implantación del C.M.B.D.;G.O.D.M. ezartzeko Segimendu Batzordea;"";"";;40.463667, -3.74922;2013-10-31 10:44:24 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=19921201&a=199203392
Consejo para la Promoción Integral y Participación Social del Pueblo Gitano;Ijito Herriaren Erabateko Sustapenerako eta Partaidetza Sozialerako Kontseilua;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 11:58:26 UTC;945019081;"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20031205&a=200306619
Roberfreelance;Roberfreelance;Heros;48009;Bilbao;43.2673952196267, -2.93138736019511;2014-03-24 10:46:54 UTC;628574780;http://roberfreelance.com
Debagoieneko Mankomunitatea (Garapen Ekonomikorako Agentzia);Debagoieneko Mankomunitatea (Garapen Ekonomikorako Agentzia);Nafarroa etorbidea, 17;20500;Arrasate/Mondragón;43.06378, -2.4835197;2014-02-23 15:11:16 UTC;943793399;http://www.debagoiena.org;fax: 943770854
Txingudi Online;Txingudi Online;"";"";Irún;43.1202360485935, -2.41758436543704;2014-03-24 12:56:37 UTC;693828099;http://www.txingudionline.com
Beterriko Liburua Literatur aldizkaria;Beterriko Liburua Literatur aldizkaria;Karidade-enea etxea - Bulandegi bidea, 23 bajo;20150;Zizurkil;43.1856932, -2.037116;2011-09-21 21:07:22 UTC;943696450;http://www.111akademia.com
Ayuntamiento de Lagrán;Lagrango Udala;Herrería, 1;01118;Lagrán;42.6266848, -2.5832959;2011-09-21 21:07:24 UTC;945378059;http://www.lagran.org;fax: 945 37 82 41;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=030&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01030
Museo Marítimo Ría de Bilbao;Bilboko Itsasadarra Itsas Museoa;Muelle Ramón de la Sota, 1;48013;Bilbao;43.2669515, -2.9465584;2014-03-01 08:47:56 UTC;946085500;http://www.museomaritimobilbao.org;fax: 944425923
Ayuntamiento de Muxika;Muxikako Udala;Ugarte auzoa, 1;48392;Muxika;43.292834, -2.7084721;2011-09-21 21:07:26 UTC;946252701;http://www.muxikakoudala.com;fax: 946255566;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=067&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48067
Labayru Euskal Biblioteka;Labayru Euskal Biblioteka;Larrauri, 1 A -  5.a;48160;Derio;43.2924984364, -2.87718416654;2011-09-21 21:07:26 UTC;944060172;http://www.labayru.org;fax: 944060173
Sociedad de Capital Desarrollo de Euskadi, SOCADE, S.A.;Garapenerako Euskadiko Kapital-Sozietatea, SOCADE, S.A.;Alameda Urquijo, 36 -  2ª planta. Edificio plaza Bizkaia;48011;Bilbao;43.2602935029, -2.93693401254;2011-09-21 21:07:27 UTC;944790192/ 944790050;http://www.gestioncapitalriesgo.com
Haize Hegoa;;Isabela, 3475 bis - bis, Apto. 4;1200;Montevideo;, ;2012-11-27 12:54:09 UTC;22157029;""
